CustomerID,Gender,Location,Transaction_ID,Product_Description,Product_Category,Quantity,Avg_Price,Delivery_Charges,Coupon_Status,Date,Temperature (F),Weather Conditions
12942.0,F,New Jersey,25290.0,8 pc Android Sticker Sheet,Office,1.0,1.59,6.5,Clicked,2019-04-11,52.83,clear sky
13089.0,F,New Jersey,42694.0,Google Large Standard Journal Navy,Office,4.0,12.79,6.5,Clicked,2019-11-06,45.73,clear sky
17860.0,F,New Jersey,22468.0,22 oz YouTube Bottle Infuser,Bottles,1.0,4.99,6.5,Clicked,2019-03-09,35.64,overcast clouds
17760.0,F,New Jersey,17766.0,Straw Beach Mat,Lifestyle,4.0,8.24,35.96,Clicked,2019-01-13,28.49,overcast clouds
14755.0,F,New Jersey,35219.0,Google Vintage Henley Grey/Black,Apparel,2.0,16.79,6.0,Clicked,2019-08-10,75.94,scattered clouds
13089.0,F,New Jersey,36661.0,Google Men's Vintage Badge Tee Black,Apparel,1.0,9.49,6.0,Clicked,2019-08-26,67.32,clear sky
16931.0,F,New Jersey,20331.0,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,119.0,6.5,Used,2019-02-13,37.81,moderate rain
13802.0,F,New Jersey,45914.0,Ballpoint LED Light Pen,Office,6.0,2.04,6.5,Used,2019-12-06,39.58,overcast clouds
17375.0,M,New Jersey,28401.0,Google Doodle Decal,Office,1.0,2.39,6.0,Used,2019-05-19,62.64,clear sky
15738.0,M,New Jersey,38107.0,Google Women's Performance Hero Tee Gunmetal,Apparel,1.0,8.8,6.0,Clicked,2019-09-13,66.51,light rain
14621.0,F,New Jersey,30547.0,Google Luggage Tag,Fun,1.0,7.19,6.0,Clicked,2019-06-16,74.62,clear sky
13263.0,M,New Jersey,38403.0,Google Women's Short Sleeve Hero Tee Grey,Apparel,1.0,4.08,6.0,Used,2019-09-18,62.19,clear sky
15518.0,F,New Jersey,41417.0,7&quot; Dog Frisbee,Lifestyle,5.0,1.2,6.0,Not Used,2019-10-23,62.49,moderate rain
14443.0,F,New Jersey,46807.0,Google Tee Green,Apparel,1.0,17.93,6.5,Used,2019-12-14,51.8,light rain
16011.0,M,New Jersey,27561.0,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1.0,79.0,6.0,Used,2019-05-08,65.84,clear sky
13089.0,F,New Jersey,29982.0,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,5.0,149.0,6.0,Clicked,2019-06-09,67.06,clear sky
14525.0,F,New Jersey,28562.0,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1.0,79.0,6.0,Clicked,2019-05-21,81.97,clear sky
